startup_name,industry,city,state,funding_amount_usd,funding_round,investors,date
MusicStream,Cybersecurity,Indore,Madhya Pradesh,10000000.0,Bridge Round,"Nexus Venture Partners, Lightspeed Venture Partners, SAIF Partners",2018-06-21
BiometricAuth,Healthtech,Surat,Gujarat,17659496183775.094,Growth Stage,Chiratae Ventures,2022-09-02
MusicStream,Gaming,Visakhapatnam,Andhra Pradesh,10000000.0,Series D,"Y Combinator, Google Ventures",2023-09-23
HomeServices,Gaming,Jaipur,Rajasthan,35211513973188.32,Pre-Series A,"Sequoia Capital, SoftBank Vision Fund",2017-02-16
RecycleIt,Real Estate,Coimbatore,Tamil Nadu,10000000.0,Debt Financing,SAIF Partners,2018-08-28
WindEnergy Tech,Real Estate,Kochi,Kerala,10000000.0,Private Equity,Matrix Partners,2016-12-12
BookMyService,SaaS,Nagpur,Maharashtra,807663236681.8766,Bridge Round,"SAIF Partners, Blume Ventures",2017-03-09
LabTest Now,Edtech,Coimbatore,Tamil Nadu,18421155898.73294,Bridge Round,Alibaba,2017-08-11
HomeServices,Agritech,Delhi,Delhi,514198658489.5651,Series A,Amazon,2016-04-11
FinanceApp,Cybersecurity,Bangalore,Karnataka,6178788319013.046,Series D,"Google Ventures, General Catalyst, Techstars",2017-08-06
ContentCreators Hub,Marketing Tech,Coimbatore,Tamil Nadu,61439313336985.43,Series C,"Steadview Capital, General Catalyst, DST Global",2015-02-21
AI Analytics,Logistics,Indore,Madhya Pradesh,10000000.0,Debt Financing,"Tencent, Techstars, Y Combinator",2022-04-30
SmartWatch India,Analytics,Kochi,Kerala,10000000.0,Series E,"Naspers, Elevation Capital",2018-11-29
HomeServices,Media & Entertainment,Noida,Uttar Pradesh,10000000.0,Debt Financing,"500 Startups, Insight Partners",2020-07-31
GreenBuild,Analytics,Jaipur,Rajasthan,10000000.0,Private Equity,"Insight Partners, General Catalyst",2017-10-25
ContentCreators Hub,CleanTech,Pune,Maharashtra,10000000.0,Debt Financing,,2020-10-18
EventPlanner,Foodtech,Delhi,Delhi,10000000.0,Series E,"DST Global, Insight Partners, Falcon Edge",2016-02-28
VerticalGardens,Fashion & Lifestyle,Jaipur,Rajasthan,10000000.0,Seed,Y Combinator,2019-09-27
AgriTech Innovations,Cybersecurity,Jaipur,Rajasthan,10000000.0,Angel,Naspers,2024-10-29
DoctorConnect,CleanTech,Coimbatore,Tamil Nadu,1324187686193.137,Seed,"Amazon, Alibaba",2015-08-24
AI Analytics,Blockchain,Mumbai,Maharashtra,10000000.0,Seed,"Chiratae Ventures, SAIF Partners, Elevation Capital",2021-09-22
AI Analytics,Cloud Services,Mumbai,Maharashtra,10000000.0,Growth Stage,"Chiratae Ventures, Nexus Venture Partners, Alibaba",2017-04-30
IdentityVerification,Marketing Tech,Surat,Gujarat,3025355743377.453,Series D,"Insight Partners, SoftBank Vision Fund, Techstars",2023-09-10
CyberSecurity India,AI/ML,Gurgaon,Haryana,10000000.0,Pre-Series A,"Naspers, Y Combinator, Insight Partners",2016-05-13
CRM Platform,Logistics,Lucknow,Uttar Pradesh,10000000.0,Series A,"Alibaba, SoftBank Vision Fund, AngelList India",2017-02-21
LoanSimple,Fashion & Lifestyle,Mumbai,Maharashtra,10000000.0,Growth Stage,SoftBank Vision Fund,2017-04-28
FitTrack,Renewable Energy,Kolkata,West Bengal,10000000.0,Private Equity,500 Startups,2017-05-25
PropertyFinder,Real Estate,Lucknow,Uttar Pradesh,10000000.0,Series C,AngelList India,2023-01-14
BeautyBox,Media & Entertainment,Mumbai,Maharashtra,10000000.0,Series A,"Insight Partners, Kalaari Capital, Techstars",2023-08-09
CloudServe,Fintech,Delhi,Delhi,10000000.0,Series A,"General Catalyst, SAIF Partners, Naspers",2018-06-23
FoodDelivery Express,Mobile Apps,Chandigarh,Chandigarh,2468778912016.291,Series B,"Chiratae Ventures, General Catalyst, Alpha Wave Incubation",2024-04-22
HealthCare Plus,Automotive,Hyderabad,Telangana,10000000.0,Pre-Series A,"Chiratae Ventures, Tencent, DST Global",2022-06-14
SpeechTech,Enterprise Software,Noida,Uttar Pradesh,10000000.0,Series A,"Lightspeed Venture Partners, DST Global",2024-06-04
